file,function,type,line,call,call_line
./models/16_swatplus/test/spcheck.py,comp_line,python,65,sanitize,68
./models/16_swatplus/test/spcheck.py,comp_line,python,65,sanitize,69
./models/16_swatplus/test/spcheck.py,comp_line,python,65,is_float,78
./models/16_swatplus/test/spcheck.py,comp_line,python,65,is_float,79
./models/16_swatplus/test/spcheck.py,comp_line,python,65,is_float,90
./models/16_swatplus/test/spcheck.py,comp_line,python,65,is_float,90
./models/16_swatplus/test/spcheck.py,comp_line,python,65,pos_line,98
./models/16_swatplus/test/spcheck.py,cmp_file,python,129,comp_line,142
./models/16_swatplus/test/spcheck.py,comp_scenario,python,173,cmp_file,179
./models/16_swatplus/test/spcheck.py,ctest_all,python,187,copy_data,192
./models/16_swatplus/test/spcheck.py,ctest_all,python,187,run_swat,195
./models/16_swatplus/test/spcheck.py,ctest_all,python,187,comp_scenario,204
./models/16_swatplus/test/spcheck.py,run,python,233,get_next_run_number,244
./models/16_swatplus/test/spcheck.py,run,python,233,copy_data,255
./models/16_swatplus/test/spcheck.py,run,python,233,run_swat,258
./models/16_swatplus/test/spcheck.py,cmp,python,264,find_run,274
./models/16_swatplus/test/spcheck.py,cmp,python,264,find_run,275
./models/16_swatplus/test/spcheck.py,cmp,python,264,comp_scenario,286
./models/16_swatplus/test/spcheck.py,ctest,python,291,ctest_all,297
./models/16_swatplus/test/swat_output_to_csv_files.py,run,python,117,read_output,119
./models/16_swatplus/test/swat_output_to_csv_files.py,run,python,117,read_output,124
./models/16_swatplus/test/swat_output_to_csv_files.py,<module>,python,,run,161
