model,language,file,name,cyclomatic_complexity,complexity_category,type
CTSM,python,./models/01_CTSM/cime/CIME/utils.py,utils.py (module aggregate),454,b4,MODULE_AGG
CTSM,python,./models/01_CTSM/cime/CIME/case/case.py,Case (aggregate),447,b4,CLASS_AGG
CTSM,python,./models/01_CTSM/cime/CIME/case/case.py,case.py (module aggregate),447,b4,MODULE_AGG
CTSM,python,./models/01_CTSM/cime/CIME/XML/env_batch.py,env_batch.py (module aggregate),364,b4,MODULE_AGG
CTSM,python,./models/01_CTSM/cime/CIME/XML/env_batch.py,EnvBatch (aggregate),357,b4,CLASS_AGG
CTSM,fortran,./models/01_CTSM/components/cdeps/fox/sax/m_sax_parser.F90,sax_parse,315,b4,SUBROUTINE
CTSM,fortran,./models/01_CTSM/src/biogeochem/CNVegCarbonStateType.F90,Restart,310,b4,SUBROUTINE
CTSM,python,./models/01_CTSM/cime/CIME/test_scheduler.py,test_scheduler.py (module aggregate),282,b4,MODULE_AGG
CTSM,fortran,./models/01_CTSM/src/main/pftconMod.F90,InitRead,260,b4,SUBROUTINE
CTSM,python,./models/01_CTSM/cime/CIME/test_scheduler.py,TestScheduler (aggregate),260,b4,CLASS_AGG
CTSM,python,./models/01_CTSM/cime/CIME/namelist.py,namelist.py (module aggregate),258,b4,MODULE_AGG
CTSM,fortran,./models/01_CTSM/src/biogeochem/CNVegMatrixMod.F90,CNVegMatrix,225,b4,SUBROUTINE
CTSM,python,./models/01_CTSM/python/ctsm/crop_calendars/generate_gdds_functions.py,generate_gdds_functions.py (module aggregate),218,b4,MODULE_AGG
CTSM,fortran,./models/01_CTSM/tools/mksurfdata_esmf/src/mksurfdata.F90,mksurfdata,210,b4,PROGRAM
CTSM,fortran,./models/01_CTSM/components/cdeps/fox/sax/m_sax_parser.F90,parseDTD,202,b4,SUBROUTINE
CTSM,python,./models/01_CTSM/cime/CIME/case/case_st_archive.py,case_st_archive.py (module aggregate),195,b4,MODULE_AGG
CTSM,python,./models/01_CTSM/cime/CIME/build.py,build.py (module aggregate),194,b4,MODULE_AGG
