,source_file,file,function,type,line,cyclomatic_complexity,cc_rank,loc,loc_span,volume,difficulty,effort,time,bugs,model,language,complexity_category,number_changes,change_per_days,age_days
0,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/bmi.py,<module>,FUNCTION,1,1,A,2.0,,27.0,1.5,40.5,2.25,0.009,PCR-GLOBWB,python,b1,,,
1,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/bmi.py,BmiGridType,CLASS,17,1,A,7.0,10.0,83.7618082852673,3.61111111111111,302.473196585687,16.8040664769826,0.0279206027617558,PCR-GLOBWB,python,b1,1.0,0.0003019416620681429,3311.898043981482
2,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/bmi.py,Bmi,CLASS,30,2,A,131.0,359.0,2285.98741281451,17.4883720930233,39978.1984752678,2221.01102640376,0.761995804271504,PCR-GLOBWB,python,b1,2.0,0.0006038833241362858,3311.898043981482
3,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/bmi.py,Bmi.initialize,METHOD,40,1,A,3.0,8.0,38.0537478050103,3.0,114.161243415031,6.34229130083505,0.0126845826016701,PCR-GLOBWB,python,b1,1.0,0.0003019416620681429,3311.898043981482
4,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/bmi.py,Bmi.update,METHOD,50,1,A,3.0,5.0,28.5293250129808,2.5,71.323312532452,3.96240625180289,0.0095097750043269,PCR-GLOBWB,python,b1,1.0,0.0003019416620681429,3311.898043981482
5,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/bmi.py,Bmi.update_until,METHOD,57,1,A,3.0,8.0,38.0537478050103,3.0,114.161243415031,6.34229130083505,0.0126845826016701,PCR-GLOBWB,python,b1,1.0,0.0003019416620681429,3311.898043981482
6,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/bmi.py,Bmi.update_frac,METHOD,67,1,A,3.0,8.0,38.0537478050103,3.0,114.161243415031,6.34229130083505,0.0126845826016701,PCR-GLOBWB,python,b1,1.0,0.0003019416620681429,3311.898043981482
7,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/bmi.py,Bmi.finalize,METHOD,77,1,A,3.0,5.0,28.5293250129808,2.5,71.323312532452,3.96240625180289,0.0095097750043269,PCR-GLOBWB,python,b1,1.0,0.0003019416620681429,3311.898043981482
8,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/bmi.py,Bmi.get_component_name,METHOD,88,1,A,3.0,6.0,28.5293250129808,2.5,71.323312532452,3.96240625180289,0.0095097750043269,PCR-GLOBWB,python,b1,1.0,0.0003019416620681429,3311.898043981482
9,func_metrics_14_PCR-GLOBWB_python,./models/14_PCR-GLOBWB_model/model/bmi.py,Bmi.get_input_var_names,METHOD,96,1,A,3.0,6.0,28.5293250129808,2.5,71.323312532452,3.96240625180289,0.0095097750043269,PCR-GLOBWB,python,b1,1.0,0.0003019416620681429,3311.898043981482
