file,total_lines,include_lines,code_lines,comment_lines,preproc_lines,blank_lines_raw,inline_comment_count,comments_per_loc,function_count,avg_func_loc,module_count
./models/01_CTSM/cime/CIME/non_py/cprnc/cprnc.F90,312,1,208,73,2,37,73,0.351,4,39.25,0
./models/01_CTSM/cime/CIME/non_py/cprnc/filestruct.F90,548,0,420,19,0,115,19,0.0452,10,38.3,1
./models/01_CTSM/cime/CIME/non_py/cprnc/prec.F90,8,0,5,3,0,0,3,0.6,0,0.0,1
./models/01_CTSM/cime/CIME/non_py/cprnc/utils.F90,85,0,56,0,2,27,0,0.0,3,17.33,1
./models/01_CTSM/cime/CIME/non_py/src/CMake/TryCSizeOf.f90,6,0,6,0,0,0,0,0.0,1,1.0,0
./models/01_CTSM/cime/CIME/non_py/src/CMake/TryMPIIO.f90,6,1,4,0,0,1,0,0.0,1,1.0,0
./models/01_CTSM/cime/CIME/non_py/src/CMake/TryMPIMod.f90,4,0,4,0,0,0,0,0.0,1,4.0,0
./models/01_CTSM/cime/CIME/non_py/src/CMake/TryMPISERIAL.f90,12,1,7,4,0,0,4,0.5714,1,3.0,0
./models/01_CTSM/cime/CIME/non_py/src/CMake/TryPnetcdf_inc.f90,3,1,2,0,0,0,0,0.0,1,2.0,0
./models/01_CTSM/cime/CIME/non_py/src/CMake/TryPnetcdf_mod.f90,5,0,5,0,0,0,0,0.0,1,1.0,0
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,529,0,385,67,0,90,67,0.174,7,45.14,1
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xglc/src/glc_comp_nuopc.F90,457,0,328,59,0,82,59,0.1799,7,35.86,1
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xice/src/ice_comp_nuopc.F90,552,0,379,87,0,100,87,0.2296,7,44.29,1
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xlnd/src/lnd_comp_nuopc.F90,564,0,385,87,0,106,87,0.226,7,44.86,1
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xocn/src/ocn_comp_nuopc.F90,475,0,340,65,0,85,65,0.1912,7,38.71,1
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xrof/src/rof_comp_nuopc.F90,473,0,327,71,0,89,71,0.2171,7,37.43,1
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xshare/dead_methods_mod.F90,853,0,625,108,0,148,108,0.1728,11,49.91,1
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xshare/dead_nuopc_mod.F90,346,0,235,55,0,70,55,0.234,6,35.17,1
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xwav/src/wav_comp_nuopc.F90,465,0,331,63,0,86,63,0.1903,7,37.71,1
./models/01_CTSM/cime/CIME/non_py/src/timing/perf_mod.F90,1770,0,993,613,98,156,613,0.6173,22,37.05,1
./models/01_CTSM/cime/CIME/non_py/src/timing/perf_utils.F90,535,0,214,225,11,128,225,1.0514,12,15.25,1
./models/01_CTSM/cime/CIME/tests/user_mods_test2/SourceMods/src.drv/somefile.F90,1,0,0,0,0,1,0,0.0,0,0.0,0
./models/01_CTSM/cime/scripts/fortran_unit_testing/Examples/circle_area/src/circle.F90,16,0,10,0,0,6,0,0.0,1,5.0,1
