file,total_lines,code_lines,comment_lines,blank_lines_raw,comments_per_loc,function_count,avg_func_loc
./models/01_CTSM/.github/workflows/validate_xml.py,67,37,16,14,0.4324,5,7.0
./models/01_CTSM/.lib/git-fleximod/doc/conf.py,26,8,10,8,1.25,0,0.0
./models/01_CTSM/.lib/git-fleximod/git_fleximod/cli.py,133,110,8,15,0.0727,2,52.5
./models/01_CTSM/.lib/git-fleximod/git_fleximod/gitinterface.py,94,82,4,8,0.0488,6,12.83
./models/01_CTSM/.lib/git-fleximod/git_fleximod/gitmodules.py,96,69,17,10,0.2464,8,8.5
./models/01_CTSM/.lib/git-fleximod/git_fleximod/git_fleximod.py,365,270,41,54,0.1519,10,24.6
./models/01_CTSM/.lib/git-fleximod/git_fleximod/lstripreader.py,38,29,0,9,0.0,6,5.33
./models/01_CTSM/.lib/git-fleximod/git_fleximod/metoflexi.py,236,178,27,31,0.1517,7,23.43
./models/01_CTSM/.lib/git-fleximod/git_fleximod/submodule.py,427,295,84,48,0.2847,6,48.83
./models/01_CTSM/.lib/git-fleximod/git_fleximod/utils.py,363,203,89,71,0.4384,14,13.57
./models/01_CTSM/.lib/git-fleximod/git_fleximod/__init__.py,0,0,0,0,0.0,0,0.0
./models/01_CTSM/.lib/git-fleximod/tests/conftest.py,150,137,1,12,0.0073,8,8.0
./models/01_CTSM/.lib/git-fleximod/tests/test_a_import.py,8,6,1,1,0.1667,1,2.0
./models/01_CTSM/.lib/git-fleximod/tests/test_b_update.py,29,16,6,7,0.375,1,1.0
./models/01_CTSM/.lib/git-fleximod/tests/test_c_required.py,30,27,2,1,0.0741,1,1.0
./models/01_CTSM/.lib/git-fleximod/tests/test_d_complex.py,66,49,5,12,0.102,1,1.0
./models/01_CTSM/.lib/git-fleximod/tests/test_e_complex_update.py,69,52,5,12,0.0962,1,1.0
./models/01_CTSM/.lib/git-fleximod/tests/__init__.py,3,2,0,1,0.0,0,0.0
./models/01_CTSM/cime/conftest.py,48,25,5,18,0.2,3,5.0
./models/01_CTSM/cime/setup.py,20,16,1,3,0.0625,0,0.0
./models/01_CTSM/cime/.github/scripts/ghcr-prune.py,251,170,5,76,0.0294,9,12.56
./models/01_CTSM/cime/CIME/aprun.py,194,126,42,26,0.3333,2,61.5
./models/01_CTSM/cime/CIME/bless_test_results.py,546,451,23,72,0.051,6,71.33
./models/01_CTSM/cime/CIME/build.py,1340,1018,141,181,0.1385,22,42.09
./models/01_CTSM/cime/CIME/buildlib.py,128,86,15,27,0.1744,3,24.67
./models/01_CTSM/cime/CIME/buildnml.py,158,120,13,25,0.1083,4,27.75
./models/01_CTSM/cime/CIME/code_checker.py,201,131,34,36,0.2595,5,23.4
./models/01_CTSM/cime/CIME/compare_namelists.py,704,327,294,83,0.8991,8,41.38
