file,total_lines,code_lines,comment_lines,blank_lines_raw,comments_per_loc,function_count,avg_func_loc
./models/02_CWatM/run_cwatm.py,39,6,24,9,4.0,0,0.0
./models/02_CWatM/setup.py,52,51,0,1,0.0,0,0.0
./models/02_CWatM/test_script.py,18,12,3,3,0.25,0,0.0
./models/02_CWatM/cwatm/cwatm_dynamic.py,197,82,71,44,0.8659,1,81.0
./models/02_CWatM/cwatm/cwatm_initial.py,180,99,47,34,0.4747,2,35.5
./models/02_CWatM/cwatm/cwatm_model.py,9,3,5,1,1.6667,0,0.0
./models/02_CWatM/cwatm/run_cwatm.py,350,180,88,82,0.4889,9,15.78
./models/02_CWatM/cwatm/__init__.py,39,7,24,8,3.4286,0,0.0
./models/02_CWatM/cwatm/hydrological_modules/capillarRise.py,117,22,78,17,3.5455,2,10.5
./models/02_CWatM/cwatm/hydrological_modules/environflow.py,160,69,44,47,0.6377,3,22.67
./models/02_CWatM/cwatm/hydrological_modules/evaporation.py,595,300,170,125,0.5667,3,99.67
./models/02_CWatM/cwatm/hydrological_modules/evaporationPot.py,425,145,203,77,1.4,7,21.43
./models/02_CWatM/cwatm/hydrological_modules/groundwater.py,130,41,58,31,1.4146,3,13.67
./models/02_CWatM/cwatm/hydrological_modules/inflow.py,183,79,62,42,0.7848,3,27.0
./models/02_CWatM/cwatm/hydrological_modules/initcondition.py,350,189,87,74,0.4603,8,23.5
./models/02_CWatM/cwatm/hydrological_modules/interception.py,119,32,62,25,1.9375,2,16.0
./models/02_CWatM/cwatm/hydrological_modules/lakes_reservoirs.py,1066,455,409,202,0.8989,7,65.14
./models/02_CWatM/cwatm/hydrological_modules/lakes_res_small.py,345,121,138,86,1.1405,3,40.0
./models/02_CWatM/cwatm/hydrological_modules/landcoverType.py,1064,442,433,189,0.9796,5,89.0
./models/02_CWatM/cwatm/hydrological_modules/miscInitial.py,136,24,76,36,3.1667,2,11.5
./models/02_CWatM/cwatm/hydrological_modules/readmeteo.py,838,415,308,115,0.7422,4,104.0
./models/02_CWatM/cwatm/hydrological_modules/runoff_concentration.py,305,88,142,75,1.6136,3,29.67
./models/02_CWatM/cwatm/hydrological_modules/sealed_water.py,87,27,43,17,1.5926,2,13.0
./models/02_CWatM/cwatm/hydrological_modules/snow_frost.py,494,195,214,85,1.0974,3,65.0
