file,total_lines,include_lines,code_lines,comment_lines,preproc_lines,blank_lines_raw,inline_comment_count,comments_per_loc,function_count,avg_func_loc,module_count
./models/05_H08/bin/ht2dto1d.f,159,0,104,55,0,0,0,0.5288,1,65.0,0
./models/05_H08/bin/htarray.f,112,0,68,44,0,0,0,0.6471,1,33.0,0
./models/05_H08/bin/htbin2list.f,223,0,132,109,0,0,18,0.8258,1,82.0,0
./models/05_H08/bin/htcal.f,47,0,16,31,0,0,0,1.9375,1,7.0,0
./models/05_H08/bin/htcat.f,94,0,51,43,0,0,0,0.8431,1,16.0,0
./models/05_H08/bin/htcatchment.f,234,0,179,55,0,2,2,0.3073,1,99.0,0
./models/05_H08/bin/htcatts.f,199,0,148,50,0,3,2,0.3378,1,92.0,0
./models/05_H08/bin/htcreate.f,66,0,27,39,0,0,0,1.4444,1,11.0,0
./models/05_H08/bin/htcreatenc.F,359,2,268,89,0,0,0,0.3321,2,84.5,0
./models/05_H08/bin/htcreatencfx.F,216,2,135,79,0,0,0,0.5852,2,36.0,0
./models/05_H08/bin/htedit.f,159,0,118,45,0,1,5,0.3814,1,75.0,0
./models/05_H08/bin/htextract.f,155,0,106,71,0,0,22,0.6698,1,38.0,0
./models/05_H08/bin/htformat.f,151,0,110,41,0,0,0,0.3727,1,57.0,0
./models/05_H08/bin/htid.f,129,0,91,38,0,0,0,0.4176,1,52.0,0
./models/05_H08/bin/htidw.f,676,0,536,236,0,1,97,0.4403,1,344.0,0
./models/05_H08/bin/htl2xl2y.f,90,0,47,43,0,0,0,0.9149,1,22.0,0
./models/05_H08/bin/htlinear.f,361,0,267,130,0,0,36,0.4869,1,144.0,0
./models/05_H08/bin/htlist2bin.f,251,0,168,105,0,0,22,0.625,1,118.0,0
./models/05_H08/bin/htlsmtxt.f,117,0,72,44,0,1,0,0.6111,1,47.0,0
./models/05_H08/bin/htmask.f,254,0,208,53,0,0,7,0.2548,1,128.0,0
./models/05_H08/bin/htmaskrplc.f,268,0,222,56,0,0,10,0.2523,1,140.0,0
./models/05_H08/bin/htmath.f,141,0,83,44,0,14,0,0.5301,1,54.0,0
./models/05_H08/bin/htmean.f,158,0,116,44,0,1,3,0.3793,1,68.0,0
./models/05_H08/bin/htmeantxt.f,162,0,104,48,0,10,0,0.4615,1,47.0,0
./models/05_H08/bin/htmettxt.f,356,0,297,71,0,2,14,0.2391,1,196.0,0
./models/05_H08/bin/htopt.f,71,0,46,25,0,1,1,0.5435,1,37.0,0
./models/05_H08/bin/htpercentile.f,160,0,111,49,0,0,0,0.4414,1,57.0,0
./models/05_H08/bin/htpoint.f,150,0,108,45,0,2,5,0.4167,1,68.0,0
./models/05_H08/bin/htpointts.f,350,0,296,60,0,1,7,0.2027,1,211.0,0
./models/05_H08/bin/htputncfx.F,196,2,117,77,0,0,0,0.6581,2,27.0,0
./models/05_H08/bin/htputncts.F,304,2,221,81,0,0,0,0.3665,2,68.0,0
./models/05_H08/bin/htrank.f,252,0,200,49,0,3,0,0.245,1,119.0,0
./models/05_H08/bin/htranktxt.f,258,0,212,46,0,0,0,0.217,1,126.0,0
./models/05_H08/bin/htrs.f,109,0,57,51,0,1,0,0.8947,1,21.0,0
./models/05_H08/bin/htstat.f,178,0,129,48,0,1,0,0.3721,1,78.0,0
./models/05_H08/bin/htstatlst.f,150,0,100,48,0,2,0,0.48,1,65.0,0
./models/05_H08/bin/htstattxt.f,185,0,128,51,0,6,0,0.3984,1,72.0,0
./models/05_H08/bin/httime.f,134,0,88,46,0,0,0,0.5227,1,40.0,0
./models/05_H08/bin/httimetxt.f,298,0,218,70,0,10,0,0.3211,1,115.0,0
