file,total_lines,include_lines,code_lines,comment_lines,preproc_lines,blank_lines_raw,inline_comment_count,comments_per_loc,function_count,avg_func_loc,module_count
./models/13_ORCHIDEE-MAN-2025/src_driver/dim2_driver.f90,1464,0,927,485,2,52,485,0.5232,1,667.0,0
./models/13_ORCHIDEE-MAN-2025/src_driver/forcesoil.f90,1758,0,1162,584,10,112,584,0.5026,1,825.0,0
./models/13_ORCHIDEE-MAN-2025/src_driver/forcing_tools.f90,4185,0,2302,1893,0,19,1893,0.8223,38,55.66,1
./models/13_ORCHIDEE-MAN-2025/src_driver/getlandseamask.f90,1089,0,606,478,0,11,478,0.7888,8,73.0,1
./models/13_ORCHIDEE-MAN-2025/src_driver/getprec.f90,57,0,34,23,0,0,23,0.6765,1,25.0,0
./models/13_ORCHIDEE-MAN-2025/src_driver/globgrd.f90,872,0,505,355,0,12,355,0.703,6,79.33,1
./models/13_ORCHIDEE-MAN-2025/src_driver/orchideedriver.f90,902,0,485,449,0,4,449,0.9258,1,372.0,0
./models/13_ORCHIDEE-MAN-2025/src_driver/readdim2.f90,2477,0,1499,886,4,118,886,0.5911,11,117.55,1
./models/13_ORCHIDEE-MAN-2025/src_driver/testrouting.f90,459,0,260,250,0,0,250,0.9615,1,168.0,0
./models/13_ORCHIDEE-MAN-2025/src_driver/teststomate.f90,1414,0,892,497,14,88,497,0.5572,1,611.0,0
./models/13_ORCHIDEE-MAN-2025/src_driver/weather.f90,4004,0,2191,1611,6,305,1611,0.7353,22,89.77,1
./models/13_ORCHIDEE-MAN-2025/src_global/gauss_jordan_method.f90,244,0,113,108,0,45,108,0.9558,2,53.5,1
./models/13_ORCHIDEE-MAN-2025/src_global/grid.f90,1124,0,541,562,0,29,562,1.0388,13,32.62,1
./models/13_ORCHIDEE-MAN-2025/src_global/haversine.f90,1017,0,451,561,0,5,561,1.2439,16,26.56,1
./models/13_ORCHIDEE-MAN-2025/src_global/interpol_help.f90,891,0,584,294,4,41,294,0.5034,4,128.5,1
./models/13_ORCHIDEE-MAN-2025/src_global/interpweight.f90,5047,0,2923,1876,0,622,1876,0.6418,38,71.82,1
./models/13_ORCHIDEE-MAN-2025/src_global/interregxy.f90,490,0,300,198,0,16,198,0.66,3,92.0,1
./models/13_ORCHIDEE-MAN-2025/src_global/module_llxy.f90,2235,0,1306,484,0,516,484,0.3706,37,31.22,1
./models/13_ORCHIDEE-MAN-2025/src_global/polygones.f90,733,0,521,198,0,14,198,0.38,8,64.0,1
./models/13_ORCHIDEE-MAN-2025/src_global/solar.f90,600,0,210,405,0,56,405,1.9286,3,64.67,1
./models/13_ORCHIDEE-MAN-2025/src_global/utils.f90,51,0,17,28,0,6,28,1.6471,1,8.0,1
./models/13_ORCHIDEE-MAN-2025/src_oasisdriver/driver2oasis.f90,845,0,452,418,0,7,418,0.9248,1,355.0,0
./models/13_ORCHIDEE-MAN-2025/src_oasisdriver/orchideeoasis.f90,896,0,497,435,0,2,435,0.8753,1,380.0,0
./models/13_ORCHIDEE-MAN-2025/src_oasisdriver/orchoasis_tools.f90,703,0,468,235,2,3,235,0.5021,6,71.5,1
./models/13_ORCHIDEE-MAN-2025/src_parallel/ioipsl_para.f90,997,0,666,197,9,125,197,0.2958,41,14.59,1
./models/13_ORCHIDEE-MAN-2025/src_parallel/mod_orchidee_mpi_data.F90,405,0,261,21,35,88,21,0.0805,7,36.14,1
./models/13_ORCHIDEE-MAN-2025/src_parallel/mod_orchidee_mpi_transfert.F90,3071,0,1869,48,411,743,48,0.0257,104,16.96,1
./models/13_ORCHIDEE-MAN-2025/src_parallel/mod_orchidee_omp_data.F90,224,0,153,9,8,54,9,0.0588,8,17.75,1
./models/13_ORCHIDEE-MAN-2025/src_parallel/mod_orchidee_omp_transfert.F90,2324,0,1640,34,201,449,34,0.0207,82,18.43,1
./models/13_ORCHIDEE-MAN-2025/src_parallel/mod_orchidee_para.F90,238,0,169,9,2,58,9,0.0533,5,32.4,1
./models/13_ORCHIDEE-MAN-2025/src_parallel/mod_orchidee_para_var.F90,251,0,144,100,0,25,100,0.6944,0,0.0,1
./models/13_ORCHIDEE-MAN-2025/src_parallel/mod_orchidee_transfert_para.F90,939,0,448,114,0,377,114,0.2545,57,7.4,1
./models/13_ORCHIDEE-MAN-2025/src_parallel/orch_write_field.f90,282,2,208,7,0,65,7,0.0337,12,15.42,1
./models/13_ORCHIDEE-MAN-2025/src_parallel/orch_write_field_p.f90,156,0,99,7,0,50,7,0.0707,7,12.86,1
./models/13_ORCHIDEE-MAN-2025/src_parallel/timer.f90,177,0,118,7,0,52,7,0.0593,9,11.44,1
./models/13_ORCHIDEE-MAN-2025/src_parallel/tools_para.f90,24,0,7,10,3,4,10,1.4286,1,3.0,1
./models/13_ORCHIDEE-MAN-2025/src_parallel/write_field.f90,12,0,3,7,0,2,7,2.3333,0,0.0,1
./models/13_ORCHIDEE-MAN-2025/src_parallel/write_field_p.f90,12,0,3,7,0,2,7,2.3333,0,0.0,1
./models/13_ORCHIDEE-MAN-2025/src_parallel/xios_orchidee.f90,842,0,393,322,37,107,322,0.8193,11,33.0,1
./models/13_ORCHIDEE-MAN-2025/src_parameters/constantes.f90,2523,0,352,2021,0,155,2021,5.7415,7,49.0,1
./models/13_ORCHIDEE-MAN-2025/src_parameters/constantes_mtc.f90,1524,0,1002,686,0,333,686,0.6846,0,0.0,1
./models/13_ORCHIDEE-MAN-2025/src_parameters/constantes_soil.f90,488,0,168,240,0,83,240,1.4286,1,118.0,1
./models/13_ORCHIDEE-MAN-2025/src_parameters/constantes_soil_var.f90,368,0,181,232,0,68,232,1.2818,0,0.0,1
./models/13_ORCHIDEE-MAN-2025/src_parameters/constantes_var.f90,1618,0,680,1319,0,205,1319,1.9397,0,0.0,1
./models/13_ORCHIDEE-MAN-2025/src_parameters/control.f90,629,0,237,339,0,58,339,1.4304,1,226.0,1
./models/13_ORCHIDEE-MAN-2025/src_parameters/pft_parameters.f90,5174,0,2821,1758,0,629,1758,0.6232,7,400.71,1
./models/13_ORCHIDEE-MAN-2025/src_parameters/pft_parameters_var.f90,1117,0,358,809,0,177,809,2.2598,0,0.0,1
./models/13_ORCHIDEE-MAN-2025/src_parameters/vertical_soil.f90,459,0,192,252,0,35,252,1.3125,1,181.0,1
./models/13_ORCHIDEE-MAN-2025/src_parameters/vertical_soil_var.f90,63,0,17,51,0,7,51,3.0,0,0.0,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/chemistry.f90,1803,0,1105,661,0,215,661,0.5982,3,331.0,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/condveg.f90,1723,0,801,891,0,266,891,1.1124,10,71.3,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/diffuco.f90,3415,0,1365,1977,2,483,1977,1.4484,17,72.94,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/enerbil.f90,2026,0,883,1098,0,300,1098,1.2435,11,69.64,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/erosion.f90,1248,0,769,672,0,46,672,0.8739,5,142.6,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/explicitsnow.f90,1696,0,846,644,0,361,644,0.7612,11,68.0,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/gammad_inc.f90,466,0,255,206,0,5,206,0.8078,2,108.0,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/hydrol.f90,10317,0,6097,3759,0,1303,3759,0.6165,31,175.84,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/hydrolc.f90,3880,0,1811,1910,0,557,1910,1.0547,16,105.06,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/hydro_subgrid.f90,249,0,122,121,0,16,121,0.9918,1,112.0,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/init_top.f90,539,0,190,284,0,76,284,1.4947,2,88.5,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/intersurf.f90,5138,0,3455,1631,36,385,1631,0.4721,10,256.8,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/ioipslctrl.f90,6240,0,4700,1016,36,541,1016,0.2162,4,486.5,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/qsat_moisture.f90,1220,0,381,716,0,248,716,1.8793,19,16.89,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/routing.f90,11741,0,7277,5068,0,607,5068,0.6964,30,223.03,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/sechiba.f90,3193,0,2065,1098,0,372,1098,0.5317,8,205.0,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/sechiba_io.f90,467,0,244,142,0,134,142,0.582,13,17.77,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/sechiba_io_p.f90,510,0,297,142,0,130,142,0.4781,13,21.69,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/slowproc.f90,6574,0,3550,2917,0,660,2917,0.8217,26,121.04,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/thermosoil.f90,3860,0,2002,1707,2,582,1707,0.8526,25,72.72,1
./models/13_ORCHIDEE-MAN-2025/src_sechiba/thermosoilc.f90,3031,0,1352,1463,0,461,1463,1.0821,23,52.65,1
./models/13_ORCHIDEE-MAN-2025/src_sticslai/Besoins_en_froid.f90,313,0,33,253,0,32,253,7.6667,1,23.0,1
./models/13_ORCHIDEE-MAN-2025/src_sticslai/CalculNombreDeFeuilles.f90,37,0,14,16,0,8,16,1.1429,1,14.0,0
./models/13_ORCHIDEE-MAN-2025/src_sticslai/crop_alloc.f90,386,0,262,126,0,40,126,0.4809,1,231.0,1
./models/13_ORCHIDEE-MAN-2025/src_sticslai/Divers_develop.f90,153,0,29,105,0,25,105,3.6207,2,11.0,1
./models/13_ORCHIDEE-MAN-2025/src_sticslai/F_humirac.f90,65,0,19,30,0,16,30,1.5789,1,12.0,1
./models/13_ORCHIDEE-MAN-2025/src_sticslai/gel.f90,86,0,47,24,0,16,24,0.5106,1,40.0,1
./models/13_ORCHIDEE-MAN-2025/src_sticslai/grain.f90,334,0,152,166,0,64,166,1.0921,1,145.0,0
./models/13_ORCHIDEE-MAN-2025/src_sticslai/reprac_calc.f90,286,0,103,153,0,56,153,1.4854,1,99.0,0
./models/13_ORCHIDEE-MAN-2025/src_sticslai/senescen.f90,834,0,385,393,0,106,393,1.0208,1,370.0,0
./models/13_ORCHIDEE-MAN-2025/src_sticslai/Stics.f90,917,0,789,163,0,61,163,0.2066,1,343.0,1
./models/13_ORCHIDEE-MAN-2025/src_sticslai/sticslai_io.f90,2391,0,1727,272,0,394,272,0.1575,2,692.0,1
./models/13_ORCHIDEE-MAN-2025/src_sticslai/Stics_Calcul_LAI.f90,724,0,270,385,0,126,385,1.4259,1,259.0,0
./models/13_ORCHIDEE-MAN-2025/src_sticslai/Stics_Develop.f90,1096,0,375,617,0,162,617,1.6453,2,176.0,0
./models/13_ORCHIDEE-MAN-2025/src_sticslai/Stics_init.f90,534,0,445,61,0,30,61,0.1371,1,316.0,0
./models/13_ORCHIDEE-MAN-2025/src_sticslai/Stics_Lai_Developpement.f90,745,0,390,422,0,99,422,1.0821,1,221.0,0
./models/13_ORCHIDEE-MAN-2025/src_sticslai/Stics_Levee.f90,432,0,145,239,0,70,239,1.6483,1,141.0,0
./models/13_ORCHIDEE-MAN-2025/src_sticslai/Stics_Recolte.f90,284,0,63,185,0,44,185,2.9365,1,60.0,0
./models/13_ORCHIDEE-MAN-2025/src_sticslai/stress.f90,127,0,57,60,0,24,60,1.0526,1,44.0,0
./models/13_ORCHIDEE-MAN-2025/src_stomate/grassland_constantes.f90,197,0,126,68,0,11,68,0.5397,0,0.0,1
./models/13_ORCHIDEE-MAN-2025/src_stomate/grassland_cutting.f90,306,0,171,108,0,33,108,0.6316,1,116.0,1
