file,total_lines,code_lines,comment_lines,blank_lines_raw,comments_per_loc,function_count,avg_func_loc
./models/14_PCR-GLOBWB_model/model/bmi.py,468,131,252,85,1.9237,40,3.0
./models/14_PCR-GLOBWB_model/model/bmiPcrglobwb.py,405,222,49,134,0.2207,49,4.16
./models/14_PCR-GLOBWB_model/model/configuration.py,642,401,121,120,0.3017,12,32.25
./models/14_PCR-GLOBWB_model/model/configuration_for_modflow.py,306,158,83,65,0.5253,8,18.25
./models/14_PCR-GLOBWB_model/model/currTimeStep.py,198,109,45,44,0.4128,29,3.07
./models/14_PCR-GLOBWB_model/model/deterministic_runner.py,167,86,41,40,0.4767,4,17.25
./models/14_PCR-GLOBWB_model/model/deterministic_runner_merging_ulysses.py,407,223,96,88,0.4305,7,28.14
./models/14_PCR-GLOBWB_model/model/deterministic_runner_merging_with_arguments.py,462,241,123,98,0.5104,7,30.71
./models/14_PCR-GLOBWB_model/model/deterministic_runner_parallel_for_ulysses.py,574,329,147,98,0.4468,8,38.75
./models/14_PCR-GLOBWB_model/model/deterministic_runner_with_arguments.py,645,374,159,112,0.4251,8,44.38
./models/14_PCR-GLOBWB_model/model/disclaimer.py,30,21,5,4,0.2381,1,19.0
./models/14_PCR-GLOBWB_model/model/earth2observe_reports.py,305,220,54,31,0.2455,2,15.0
./models/14_PCR-GLOBWB_model/model/groundwater.py,1018,619,240,159,0.3877,12,50.67
./models/14_PCR-GLOBWB_model/model/landCover.py,3951,2195,1214,542,0.5531,29,75.38
./models/14_PCR-GLOBWB_model/model/landSurface.py,1600,1024,331,245,0.3232,15,67.8
./models/14_PCR-GLOBWB_model/model/merge_netcdf.py,464,285,99,80,0.3474,6,38.83
./models/14_PCR-GLOBWB_model/model/merge_netcdf_6_arcmin_ulysses.py,506,294,122,90,0.415,6,39.83
./models/14_PCR-GLOBWB_model/model/merge_netcdf_europe.py,554,299,151,104,0.505,6,39.33
./models/14_PCR-GLOBWB_model/model/merge_netcdf_general.py,575,299,167,109,0.5585,6,39.33
./models/14_PCR-GLOBWB_model/model/merge_pcraster_maps.py,322,217,74,31,0.341,8,16.25
./models/14_PCR-GLOBWB_model/model/merge_pcraster_maps_6_arcmin_ulysses.py,352,240,77,35,0.3208,8,16.25
./models/14_PCR-GLOBWB_model/model/merge_pcraster_maps_general.py,351,228,84,39,0.3684,8,16.25
./models/14_PCR-GLOBWB_model/model/meteo.py,1179,669,274,236,0.4096,15,43.73
./models/14_PCR-GLOBWB_model/model/ncConverter.py,217,123,37,57,0.3008,8,13.75
./models/14_PCR-GLOBWB_model/model/oldcalc_framework.py,258,153,53,52,0.3464,4,35.0
./models/14_PCR-GLOBWB_model/model/parallel_pcrglobwb_runner.py,190,89,64,37,0.7191,0,0.0
./models/14_PCR-GLOBWB_model/model/parallel_pcrglobwb_runner_with_arguments.py,310,175,78,57,0.4457,1,83.0
./models/14_PCR-GLOBWB_model/model/parameterSoilAndTopo.py,447,308,79,60,0.2565,5,60.8
./models/14_PCR-GLOBWB_model/model/pcrglobwb.py,518,307,86,125,0.2801,16,18.25
./models/14_PCR-GLOBWB_model/model/reporting.py,1428,781,359,288,0.4597,11,70.27
./models/14_PCR-GLOBWB_model/model/routing.py,2596,1314,799,483,0.6081,32,40.66
./models/14_PCR-GLOBWB_model/model/setup.py,6,5,0,1,0.0,0,0.0
./models/14_PCR-GLOBWB_model/model/spinUp.py,206,110,45,51,0.4091,8,12.62
./models/14_PCR-GLOBWB_model/model/variable_list.py,1924,1519,219,186,0.1442,0,0.0
./models/14_PCR-GLOBWB_model/model/virtualOS.py,2871,1836,591,444,0.3219,55,33.04
./models/14_PCR-GLOBWB_model/model/waterBodies.py,686,415,173,98,0.4169,9,45.22
