file,total_lines,include_lines,code_lines,comment_lines,preproc_lines,blank_lines_raw,inline_comment_count,comments_per_loc,function_count,avg_func_loc,module_count
./models/15_sac-sma/src/bmi/bmi.f90,564,0,429,67,0,68,67,0.1562,0,0.0,1
./models/15_sac-sma/src/bmi/bmi_sac.f90,1152,0,867,178,5,128,178,0.2053,52,14.67,1
./models/15_sac-sma/src/driver/driver_bmi.f90,89,0,38,48,0,13,48,1.2632,1,23.0,0
./models/15_sac-sma/src/sac/duamel.f,134,0,81,35,0,23,24,0.4321,2,40.0,0
./models/15_sac-sma/src/sac/ex_sac1.f,92,0,47,25,0,20,0,0.5319,1,34.0,0
./models/15_sac-sma/src/sac/sac1.f,679,0,274,369,0,36,0,1.3467,3,88.67,0
./models/15_sac-sma/src/share/constants.f90,35,0,33,29,0,2,29,0.8788,0,0.0,1
./models/15_sac-sma/src/share/dateTimeUtilsModule.f90,1212,0,779,189,0,277,189,0.2426,39,18.59,1
./models/15_sac-sma/src/share/derivedType.f90,81,0,64,5,0,12,5,0.0781,1,43.0,1
./models/15_sac-sma/src/share/forcingType.f90,46,0,25,7,0,17,7,0.28,1,12.0,1
./models/15_sac-sma/src/share/ioModule.f90,571,0,369,122,0,114,122,0.3306,9,38.89,1
./models/15_sac-sma/src/share/modelVarType.f90,83,0,66,21,0,13,21,0.3182,1,39.0,1
./models/15_sac-sma/src/share/namelistModule.f90,96,0,70,34,0,18,34,0.4857,1,28.0,2
./models/15_sac-sma/src/share/nrtype.f90,30,0,30,0,0,0,0,0.0,0,0.0,1
./models/15_sac-sma/src/share/parametersType.f90,62,0,40,8,0,17,8,0.2,1,24.0,1
./models/15_sac-sma/src/share/runInfoType.f90,101,0,69,35,0,22,35,0.5072,1,41.0,1
./models/15_sac-sma/src/share/runSac.f90,267,0,139,84,18,49,84,0.6043,4,22.0,1
