file,total_lines,include_lines,code_lines,comment_lines,preproc_lines,blank_lines_raw,inline_comment_count,comments_per_loc,function_count,avg_func_loc,module_count
./models/16_swatplus/basin_print_codes_read copy.f90,517,0,500,14,0,9,14,0.028,1,500.0,0
./models/16_swatplus/src/actions.f90,1154,0,897,235,0,142,235,0.262,1,831.0,0
./models/16_swatplus/src/albedo.f90,37,0,22,12,0,8,12,0.5455,1,22.0,0
./models/16_swatplus/src/allocate_parms.f90,223,0,152,38,0,42,38,0.25,1,152.0,0
./models/16_swatplus/src/animal_herd_module.f90,23,0,20,15,0,3,15,0.75,0,0.0,1
./models/16_swatplus/src/aqu2d_init.f90,106,0,83,21,0,13,21,0.253,1,83.0,0
./models/16_swatplus/src/aqu2d_read.f90,77,0,62,14,0,14,14,0.2258,1,62.0,0
./models/16_swatplus/src/aquifer_module.f90,243,0,222,96,0,16,96,0.4324,3,22.0,1
./models/16_swatplus/src/aquifer_output.f90,75,0,57,9,0,12,9,0.1579,1,57.0,0
./models/16_swatplus/src/aqu_1d_control.f90,383,0,277,136,0,41,136,0.491,1,276.0,0
./models/16_swatplus/src/aqu_cs_output.f90,236,0,208,18,0,16,18,0.0865,1,128.0,0
./models/16_swatplus/src/aqu_hyds.f90,7,0,4,1,0,2,1,0.25,1,4.0,0
./models/16_swatplus/src/aqu_initial.f90,192,0,157,30,0,26,30,0.1911,1,157.0,0
./models/16_swatplus/src/aqu_pesticide_module.f90,132,0,116,20,0,15,20,0.1724,4,14.0,1
./models/16_swatplus/src/aqu_pesticide_output.f90,106,0,78,14,0,17,14,0.1795,1,70.0,0
./models/16_swatplus/src/aqu_pest_output_init.f90,39,0,27,6,0,8,6,0.2222,1,27.0,0
./models/16_swatplus/src/aqu_read.f90,67,0,55,11,0,10,11,0.2,1,55.0,0
./models/16_swatplus/src/aqu_read_elements.f90,193,0,151,33,0,28,33,0.2185,1,150.0,0
./models/16_swatplus/src/aqu_read_init.f90,74,0,54,13,0,14,13,0.2407,1,54.0,0
./models/16_swatplus/src/aqu_read_init_cs.f90,159,0,126,38,0,18,38,0.3016,1,126.0,0
./models/16_swatplus/src/aqu_salt_output.f90,204,0,177,17,0,15,17,0.096,1,113.0,0
./models/16_swatplus/src/ascrv.f90,37,0,14,22,0,8,22,1.5714,1,14.0,0
./models/16_swatplus/src/atri.f90,73,0,55,22,0,11,22,0.4,1,55.0,0
./models/16_swatplus/src/aunif.f90,40,0,10,23,0,8,23,2.3,1,10.0,0
./models/16_swatplus/src/basin_aquifer_output.f90,84,0,61,10,0,15,10,0.1639,1,61.0,0
./models/16_swatplus/src/basin_aqu_pest_output.f90,116,0,84,16,0,19,16,0.1905,1,76.0,0
./models/16_swatplus/src/basin_chanbud_output.f90,77,0,51,10,0,16,10,0.1961,1,51.0,0
./models/16_swatplus/src/basin_chanmorph_output.f90,78,0,56,5,0,17,5,0.0893,1,56.0,0
./models/16_swatplus/src/basin_channel_output.f90,69,0,51,6,0,13,6,0.1176,1,51.0,0
./models/16_swatplus/src/basin_ch_pest_output.f90,105,0,74,13,0,21,13,0.1757,1,66.0,0
./models/16_swatplus/src/basin_ls_pest_output.f90,107,0,77,12,0,20,12,0.1558,1,69.0,0
./models/16_swatplus/src/basin_module.f90,416,0,237,298,0,21,298,1.2574,1,9.0,1
./models/16_swatplus/src/basin_output.f90,255,0,219,29,0,20,29,0.1324,1,218.0,0
./models/16_swatplus/src/basin_print_codes_read.f90,639,0,607,28,0,10,28,0.0461,1,607.0,0
./models/16_swatplus/src/basin_prm_default.f90,63,0,48,46,0,7,46,0.9583,1,48.0,0
./models/16_swatplus/src/basin_read_cc.f90,46,0,36,5,0,9,5,0.1389,1,36.0,0
./models/16_swatplus/src/basin_read_objs.f90,97,0,74,22,0,10,22,0.2973,1,74.0,0
./models/16_swatplus/src/basin_read_prm.f90,32,0,25,5,0,6,5,0.2,1,25.0,0
./models/16_swatplus/src/basin_recall_output.f90,67,0,48,7,0,13,7,0.1458,1,48.0,0
./models/16_swatplus/src/basin_reservoir_output.f90,104,0,83,10,0,12,10,0.1205,1,75.0,0
./models/16_swatplus/src/basin_res_pest_output.f90,104,0,74,12,0,20,12,0.1622,1,66.0,0
./models/16_swatplus/src/basin_sdchannel_output.f90,103,0,82,12,0,15,12,0.1463,1,74.0,0
./models/16_swatplus/src/basin_sw_init.f90,92,0,78,15,0,8,15,0.1923,1,78.0,0
./models/16_swatplus/src/calhard_control.f90,17,0,10,2,0,5,2,0.2,1,10.0,0
./models/16_swatplus/src/calibration_data_module.f90,320,0,285,219,0,28,219,0.7684,0,0.0,1
./models/16_swatplus/src/calsoft_ave_output.f90,113,0,69,39,0,10,39,0.5652,1,68.0,0
./models/16_swatplus/src/calsoft_control.f90,168,0,114,44,0,22,44,0.386,1,104.0,0
./models/16_swatplus/src/calsoft_hyd.f90,848,0,623,168,0,92,168,0.2697,1,618.0,0
./models/16_swatplus/src/calsoft_hyd_bfr.f90,63,0,39,14,0,13,14,0.359,1,39.0,0
./models/16_swatplus/src/calsoft_hyd_bfr_et.f90,197,0,136,44,0,32,44,0.3235,1,135.0,0
./models/16_swatplus/src/calsoft_hyd_bfr_latq.f90,173,0,131,37,0,18,37,0.2824,1,130.0,0
./models/16_swatplus/src/calsoft_hyd_bfr_perc.f90,199,0,155,36,0,22,36,0.2323,1,154.0,0
./models/16_swatplus/src/calsoft_hyd_bfr_pet.f90,96,0,90,20,0,0,20,0.2222,1,90.0,0
./models/16_swatplus/src/calsoft_hyd_bfr_surq.f90,178,0,137,39,0,18,39,0.2847,1,136.0,0
./models/16_swatplus/src/calsoft_plant.f90,535,0,415,81,0,76,81,0.1952,1,413.0,0
./models/16_swatplus/src/calsoft_plant_zero.f90,22,0,17,2,0,5,2,0.1176,1,17.0,0
./models/16_swatplus/src/calsoft_read_codes.f90,47,0,39,5,0,7,5,0.1282,1,36.0,0
./models/16_swatplus/src/calsoft_sed.f90,213,0,168,39,0,23,39,0.2321,1,164.0,0
./models/16_swatplus/src/calsoft_sum_output.f90,191,0,148,49,0,12,49,0.3311,1,121.0,0
./models/16_swatplus/src/caltsoft_hyd.f90,768,0,625,113,0,64,113,0.1808,1,616.0,0
./models/16_swatplus/src/cal_allo_init.f90,101,0,81,7,0,14,7,0.0864,1,81.0,0
./models/16_swatplus/src/cal_conditions.f90,268,0,233,42,0,22,42,0.1803,1,226.0,0
./models/16_swatplus/src/cal_cond_read.f90,73,0,43,22,0,15,22,0.5116,1,43.0,0
./models/16_swatplus/src/cal_parmchg_read.f90,169,0,131,37,0,20,37,0.2824,1,126.0,0
./models/16_swatplus/src/cal_parm_read.f90,52,0,37,11,0,11,11,0.2973,1,37.0,0
./models/16_swatplus/src/cal_parm_select.f90,1016,0,760,53,0,223,53,0.0697,1,573.0,0
./models/16_swatplus/src/caps.f90,39,0,20,7,0,13,7,0.35,1,20.0,0
./models/16_swatplus/src/carbon_coef_read.f90,141,0,118,24,0,6,24,0.2034,1,116.0,0
./models/16_swatplus/src/carbon_module.f90,551,0,480,190,0,45,190,0.3958,12,15.0,1
./models/16_swatplus/src/carbon_read.f90,50,0,41,6,0,9,6,0.1463,1,41.0,0
./models/16_swatplus/src/cbn_rsd_decomp.f90,146,0,80,64,0,22,64,0.8,1,80.0,0
./models/16_swatplus/src/cbn_zhang2.f90,986,0,642,414,0,111,414,0.6449,1,573.0,0
./models/16_swatplus/src/ccu_output.f90,5,0,3,0,0,2,0,0.0,1,3.0,0
./models/16_swatplus/src/channel_allo.f90,52,0,45,1,0,7,1,0.0222,1,45.0,0
./models/16_swatplus/src/channel_control.f90,208,0,122,71,0,29,71,0.582,1,122.0,0
