file,total_lines,code_lines,comment_lines,blank_lines_raw,comments_per_loc,function_count,avg_func_loc
./models/18_VIC/tests/archive_tests.py,45,25,9,11,0.36,1,20.0
./models/18_VIC/tests/run_profiling.py,353,289,10,54,0.0346,5,20.8
./models/18_VIC/tests/run_tests.py,984,611,224,149,0.3666,9,60.44
./models/18_VIC/tests/test_image_driver.py,298,152,105,41,0.6908,6,25.0
./models/18_VIC/tests/test_restart.py,409,225,147,37,0.6533,6,37.17
./models/18_VIC/tests/test_utils.py,1047,653,195,199,0.2986,29,22.45
./models/18_VIC/tests/unit/test_cesm_driver.py,60,43,2,15,0.0465,3,7.67
./models/18_VIC/tests/unit/test_python_driver.py,27,20,0,7,0.0,3,1.0
./models/18_VIC/tests/unit/__init__.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/shared/test_cmd_proc.py,15,7,1,7,0.1429,3,1.0
./models/18_VIC/tests/unit/shared/test_free_all_vars.py,14,3,7,4,2.3333,0,0.0
./models/18_VIC/tests/unit/shared/test_free_vegcon.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/shared/test_get_parameters.py,21,15,0,6,0.0,3,2.67
./models/18_VIC/tests/unit/shared/test_initialize_global.py,6,4,0,2,0.0,1,1.0
./models/18_VIC/tests/unit/shared/test_initialize_options.py,12,8,0,4,0.0,2,1.0
./models/18_VIC/tests/unit/shared/test_initialize_parameters.py,6,4,0,2,0.0,1,1.0
./models/18_VIC/tests/unit/shared/test_initialize_snow.py,26,0,17,9,0.0,0,0.0
./models/18_VIC/tests/unit/shared/test_initialize_soil.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/shared/test_input_tools.py,82,52,8,22,0.1538,11,3.55
./models/18_VIC/tests/unit/shared/test_make_all_vars.py,10,8,0,2,0.0,1,1.0
./models/18_VIC/tests/unit/shared/test_make_cell_data.py,5,3,0,2,0.0,1,1.0
./models/18_VIC/tests/unit/shared/test_make_dmy.py,27,22,1,4,0.0455,1,16.0
./models/18_VIC/tests/unit/shared/test_make_energy_bal.py,15,9,0,6,0.0,3,1.0
./models/18_VIC/tests/unit/shared/test_make_snow_data.py,15,9,0,6,0.0,3,1.0
./models/18_VIC/tests/unit/shared/test_make_veg_var.py,21,13,0,8,0.0,4,1.0
./models/18_VIC/tests/unit/shared/test_open_file.py,19,13,0,6,0.0,3,2.0
./models/18_VIC/tests/unit/shared/test_print_library_shared.py,30,20,0,10,0.0,5,2.4
./models/18_VIC/tests/unit/shared/test_put_data.py,33,27,0,6,0.0,2,9.5
./models/18_VIC/tests/unit/shared/test_timing.py,37,19,7,11,0.3684,1,1.0
./models/18_VIC/tests/unit/shared/test_vic_log.py,31,23,0,8,0.0,4,1.0
./models/18_VIC/tests/unit/shared/test_vic_time.py,377,288,14,75,0.0486,30,5.33
./models/18_VIC/tests/unit/shared/__init__.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_advected_sensible_heat.py,16,9,5,2,0.5556,1,1.0
./models/18_VIC/tests/unit/vic_run/test_arno_evap.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_CalcAerodynamic.py,20,16,0,4,0.0,1,1.0
./models/18_VIC/tests/unit/vic_run/test_CalcBlowingSnow.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_calc_atmos_energy_bal.py,86,61,22,3,0.3607,1,1.0
./models/18_VIC/tests/unit/vic_run/test_calc_Nscale_factors.py,13,10,0,3,0.0,1,1.0
./models/18_VIC/tests/unit/vic_run/test_calc_rainonly.py,10,5,3,2,0.6,1,1.0
./models/18_VIC/tests/unit/vic_run/test_calc_snow_coverage.py,34,29,0,5,0.0,2,1.0
./models/18_VIC/tests/unit/vic_run/test_calc_surf_energy_bal.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_calc_veg_params.py,16,10,0,6,0.0,3,1.0
./models/18_VIC/tests/unit/vic_run/test_canopy_assimilation.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_canopy_evap.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_comparisons.py,23,17,0,6,0.0,2,6.0
./models/18_VIC/tests/unit/vic_run/test_compute_coszen.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_compute_pot_evap.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_compute_soil_resp.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_compute_zwt.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_correct_precip.py,18,13,1,4,0.0769,1,1.0
./models/18_VIC/tests/unit/vic_run/test_estimate_T1.py,7,4,1,2,0.25,1,1.0
./models/18_VIC/tests/unit/vic_run/test_faparl.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_frozen_soil.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_func_atmos_energy_bal.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_func_atmos_moist_bal.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_func_canopy_energy_bal.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_func_surf_energy_bal.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_IceEnergyBalance.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_ice_melt.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_initialize_lake.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_lakes.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_latent_heat_from_snow.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_massrelease.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_modify_Ksat.py,16,14,0,2,0.0,1,9.0
./models/18_VIC/tests/unit/vic_run/test_newt_raph_func_fast.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_penman.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_photosynth.py,16,12,0,4,0.0,2,3.5
./models/18_VIC/tests/unit/vic_run/test_physics.py,45,32,1,12,0.0312,5,2.0
./models/18_VIC/tests/unit/vic_run/test_prepare_full_energy.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_root_brent.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_runoff.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_SnowPackEnergyBalance.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_snow_intercept.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_snow_melt.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_snow_utility.py,20,15,2,3,0.1333,2,1.0
./models/18_VIC/tests/unit/vic_run/test_soil_carbon_balance.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_soil_conduction.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_soil_thermal_eqn.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_solve_snow.py,0,0,0,0,0.0,0,0.0
./models/18_VIC/tests/unit/vic_run/test_StabilityCorrection.py,5,3,0,2,0.0,1,1.0
