file,function,type,line,cyclomatic_complexity,cc_rank,loc,loc_span,volume,difficulty,effort,time,bugs
./models/16_swatplus/test/spcheck.py,<module>,FUNCTION,1,3,A,42.0,,2381.0155180436177,27.545454545454547,65586.15472429238,3643.675262460688,0.7936718393478726
./models/16_swatplus/test/spcheck.py,sanitize,FUNCTION,21,11,C,12.0,12.0,696.9824092512964,35.714285714285715,24892.228901832015,1382.9016056573341,0.23232746975043214
./models/16_swatplus/test/spcheck.py,is_float,FUNCTION,36,4,A,12.0,12.0,169.9171005377434,7.2,1223.4031238717525,67.96684021509736,0.056639033512581136
./models/16_swatplus/test/spcheck.py,pos_line,FUNCTION,50,4,A,12.0,12.0,567.8304168535556,17.523809523809526,9950.55206676707,552.8084481537261,0.18927680561785185
./models/16_swatplus/test/spcheck.py,comp_line,FUNCTION,65,15,C,39.0,47.0,1825.8928463277894,40.773809523809526,74448.6071270557,4136.033729280873,0.6086309487759298
./models/16_swatplus/test/spcheck.py,cmp_file,FUNCTION,129,9,B,24.0,26.0,1195.742452903772,29.228571428571428,34949.8436948731,1941.6579830485057,0.39858081763459063
./models/16_swatplus/test/spcheck.py,copy_data,FUNCTION,157,1,A,2.0,2.0,106.27403387250882,5.333333333333333,566.794847320047,31.4886026288915,0.03542467795750294
./models/16_swatplus/test/spcheck.py,run_swat,FUNCTION,161,3,A,10.0,10.0,437.59408271283183,12.272727272727273,5370.472833293846,298.3596018496581,0.14586469423761061
./models/16_swatplus/test/spcheck.py,comp_scenario,FUNCTION,173,3,A,12.0,12.0,649.6723626178384,18.25925925925926,11862.536102614606,659.0297834785893,0.21655745420594613
./models/16_swatplus/test/spcheck.py,ctest_all,FUNCTION,187,5,A,14.0,21.0,1077.8685031034731,21.842105263157894,23542.917304628492,1307.9398502571385,0.35928950103449103
./models/16_swatplus/test/spcheck.py,get_next_run_number,FUNCTION,210,2,A,10.0,10.0,283.6339404013986,13.0,3687.241225218182,204.84673473434344,0.0945446468004662
./models/16_swatplus/test/spcheck.py,find_run,FUNCTION,222,3,A,8.0,8.0,252.0090376146638,12.384615384615383,3121.0350043046824,173.39083357248236,0.08400301253822128
./models/16_swatplus/test/spcheck.py,run,FUNCTION,233,3,A,18.0,29.0,894.8170368812362,12.100000000000001,10827.286146262959,601.5158970146089,0.2982723456270787
./models/16_swatplus/test/spcheck.py,cmp,FUNCTION,264,10,B,21.0,25.0,1220.0361504586554,23.5,28670.8495357784,1592.8249742099113,0.4066787168195518
./models/16_swatplus/test/spcheck.py,ctest,FUNCTION,291,4,A,9.0,10.0,445.0,9.09090909090909,4045.454545454545,224.7474747474747,0.14833333333333334
./models/16_swatplus/test/spcheck.py,spcheck.py (module aggregate),MODULE_AGG,1,77,F,,,,,,,
./models/16_swatplus/test/swat_output_to_csv_files.py,<module>,FUNCTION,1,2,A,71.0,,1778.5969206837194,87.20833333333333,155108.47312462603,8617.137395812557,0.5928656402279064
./models/16_swatplus/test/swat_output_to_csv_files.py,read_output,FUNCTION,78,11,C,36.0,37.0,1141.021208295195,33.57692307692308,38311.98134006559,2128.4434077814217,0.38034040276506503
./models/16_swatplus/test/swat_output_to_csv_files.py,run,FUNCTION,117,4,A,8.0,8.0,255.41209043760983,18.0,4597.417627876977,255.41209043760986,0.08513736347920328
./models/16_swatplus/test/swat_output_to_csv_files.py,swat_output_to_csv_files.py (module aggregate),MODULE_AGG,1,15,C,,,,,,,
